,AUC,Accuracy,BA,Kappa,MCC,Sensitivity,Specificity,cv,data,f1_score,pr_auc,prediction_time,roc_auc,train_time
178,0.3376926196269261,0.9334257975034674,0.6623073803730738,0.3162906475957169,0.3164190701645797,0.3611111111111111,0.9635036496350364,8.0,MoteStrain,0.9649122807017544,0.9861246306901198,0.0008206367492675,0.8362530413625305,91.19211387634276
179,0.223661800486618,0.9500693481276006,0.776338199513382,0.5122336227308603,0.5139346781816541,0.5833333333333334,0.9693430656934306,9.0,MoteStrain,0.9736070381231672,0.9867965024254184,0.0006318092346191,0.8772100567721006,92.61532521247864
190,0.4173789173789173,0.907859078590786,0.5826210826210827,0.1426814268142681,0.1443429309126253,0.2222222222222222,0.9430199430199432,0.0,Strawberry,0.9511494252873562,0.989982991325176,0.0003304481506347,0.852326685660019,37.5177628993988
191,0.2727920227920228,0.9322493224932248,0.7272079772079771,0.3836440168370415,0.3894880666781397,0.5,0.9544159544159544,1.0,Strawberry,0.9640287769784172,0.9882875949326708,0.0003161430358886,0.8729028173472617,37.6166570186615
192,0.2407407407407407,0.943089430894309,0.7592592592592593,0.4581497797356828,0.4620107863008063,0.5555555555555556,0.9629629629629628,2.0,Strawberry,0.96987087517934,0.9927194662637808,0.0001561641693115,0.9097815764482432,38.78187990188599
193,0.2628205128205128,0.951219512195122,0.7371794871794872,0.4743589743589743,0.4743589743589743,0.5,0.9743589743589745,3.0,Strawberry,0.9743589743589745,0.9976610827615984,0.0001628398895263,0.9550490661601772,38.37074851989746
194,0.2977207977207977,0.934959349593496,0.7022792022792023,0.3659793814432989,0.368039948191675,0.4444444444444444,0.96011396011396,4.0,Strawberry,0.9656160458452724,0.9929305986793472,0.0001459121704101,0.8877809433364988,38.10451674461365
195,0.334045584045584,0.9159891598915988,0.665954415954416,0.2682786413356361,0.2745450921728818,0.3888888888888889,0.9430199430199432,5.0,Strawberry,0.9552669552669552,0.991963122494458,0.0001666545867919,0.8876226654004432,38.26000499725342
196,0.2813390313390313,0.9159891598915988,0.7186609686609686,0.3257294429708223,0.339587641774455,0.5,0.9373219373219374,6.0,Strawberry,0.9550072568940492,0.9867981620542644,0.0001642704010009,0.825261158594492,37.79088616371155
197,0.3354700854700855,0.913279132791328,0.6645299145299145,0.2604284103720405,0.2676754080401838,0.3888888888888889,0.9401709401709402,7.0,Strawberry,0.953757225433526,0.9958091963199944,0.0001559257507324,0.92133586578031,37.132458209991455
198,0.1894586894586894,0.940379403794038,0.8105413105413105,0.4915445321307778,0.5052228480758448,0.6666666666666666,0.9544159544159544,8.0,Strawberry,0.9682080924855492,0.9977851433779892,0.0001544952392578,0.9571066793289016,37.48615860939026
199,0.3226495726495726,0.9376693766937668,0.6773504273504274,0.3455933379597502,0.3457333092290479,0.3888888888888889,0.9658119658119658,9.0,Strawberry,0.9671897289586304,0.9968118118577556,0.0001552104949951,0.9450775561886672,37.6616439819336
200,0.2679640718562874,0.9428571428571428,0.7320359281437125,0.4147157190635451,0.4175865367751706,0.5,0.9640718562874252,0.0,Symbols,0.9698795180722892,0.9975234441901116,7.343292236328125e-05,0.9483532934131736,16.267235040664673
201,0.3364520958083832,0.9257142857142856,0.6635479041916168,0.2775484280724039,0.2814880362616966,0.375,0.9520958083832336,1.0,Symbols,0.9607250755287008,0.9960821577511464,8.273124694824219e-05,0.9206586826347304,16.297186613082886
202,0.404940119760479,0.9085714285714286,0.5950598802395209,0.1535671100362757,0.1571252791712409,0.25,0.940119760479042,2.0,Symbols,0.9515151515151514,0.9964877623664656,7.05718994140625e-05,0.9266467065868262,16.251423597335815
203,0.467440119760479,0.9028571428571428,0.5325598802395209,0.0552556367100666,0.0560399522992393,0.125,0.940119760479042,3.0,Symbols,0.9486404833836858,0.993721104687575,7.081031799316406e-05,0.8749999999999999,16.2371883392334
204,0.2204341317365269,0.92,0.7795658682634731,0.3788032454361054,0.4051900939787421,0.625,0.934131736526946,4.0,Symbols,0.9570552147239264,0.9969829084318178,7.748603820800781e-05,0.937874251497006,16.222427368164062
205,0.4169161676646706,0.8857142857142857,0.5830838323353293,0.112576064908722,0.1204179395760117,0.25,0.9161676646706588,5.0,Symbols,0.9386503067484664,0.9954346585991116,7.510185241699219e-05,0.9056886227544912,16.326951503753662
206,0.1489520958083832,0.9428571428571428,0.8510479041916168,0.5173745173745173,0.5405335480172837,0.75,0.9520958083832336,6.0,Symbols,0.9695121951219512,0.9984790784640472,8.225440979003906e-05,0.968562874251497,15.661379098892212
207,0.3989520958083832,0.92,0.6010479041916168,0.1806020066889632,0.1818522014988646,0.25,0.9520958083832336,7.0,Symbols,0.9578313253012049,0.9947232821659212,6.914138793945312e-05,0.8974550898203593,15.345406532287598
